original,location,sample_period,duplicate,location,sample_period
PG2011051,Pangnirtung,15,PG2011051,Pangnirtung,15
PG2011101,Pangnirtung,15,PG2011101,Pangnirtung,15
PG2011102,Pangnirtung,15,PG2011102,Pangnirtung,15
PG2011103,Pangnirtung,15,PG2011103,Pangnirtung,15
PG2012001,Pangnirtung,16,PG2012001,Pangnirtung,16
PG2012002,Pangnirtung,16,PG2012002,Pangnirtung,16
PG2012003,Pangnirtung,16,PG2012003,Pangnirtung,16
PG2012004,Pangnirtung,16,PG2012004,Pangnirtung,16
PG2012004,Pangnirtung,16,PG2012007,Pangnirtung,16
PG2012004,Pangnirtung,16,PG2012006,Pangnirtung,16
PG2012005,Pangnirtung,16,PG2012005,Pangnirtung,16
PG2012008,Pangnirtung,16,PG2012094,Pangnirtung,16
PG2012008,Pangnirtung,16,PG2012092,Pangnirtung,16
PG2012008,Pangnirtung,16,PG2012008,Pangnirtung,16
PG2012009,Pangnirtung,16,PG2012009,Pangnirtung,16
PG2012010,Pangnirtung,16,PG2012010,Pangnirtung,16
PG2012011,Pangnirtung,16,PG2012011,Pangnirtung,16
PG2012012,Pangnirtung,16,PG2012012,Pangnirtung,16
PG2012013,Pangnirtung,16,PG2012013,Pangnirtung,16
PG2012014,Pangnirtung,16,PG2012014,Pangnirtung,16
PG2012015,Pangnirtung,16,PG2012015,Pangnirtung,16
PG2012016,Pangnirtung,16,PG2012016,Pangnirtung,16
PG2012017,Pangnirtung,16,PG2012017,Pangnirtung,16
PG2012018,Pangnirtung,16,PG2012018,Pangnirtung,16
PG2012019,Pangnirtung,16,PG2012019,Pangnirtung,16
PG2012020,Pangnirtung,16,PG2012020,Pangnirtung,16
PG2012022,Pangnirtung,16,PG2012022,Pangnirtung,16
PG2012024,Pangnirtung,16,PG2012024,Pangnirtung,16
PG2012025,Pangnirtung,16,PG2012025,Pangnirtung,16
PG2012026,Pangnirtung,16,PG2012026,Pangnirtung,16
PG2012026,Pangnirtung,16,PG2012030,Pangnirtung,16
PG2012027,Pangnirtung,16,PG2012027,Pangnirtung,16
PG2012028,Pangnirtung,16,PG2012028,Pangnirtung,16
