original,location,sample_period,duplicate,location.1,sample_period.1
PG2012052,Pangnirtung,16,PG2012052,Pangnirtung,16
PG2012053,Pangnirtung,16,PG2012053,Pangnirtung,16
PG2012054,Pangnirtung,16,PG2012056,Pangnirtung,16
PG2012054,Pangnirtung,16,PG2012054,Pangnirtung,16
PG2012055,Pangnirtung,16,PG2012055,Pangnirtung,16
PG2012057,Pangnirtung,16,PG2012057,Pangnirtung,16
PG2012059,Pangnirtung,16,PG2012059,Pangnirtung,16
PG2012060,Pangnirtung,16,PG2012060,Pangnirtung,16
PG2012061,Pangnirtung,16,PG2012061,Pangnirtung,16
PG2012062,Pangnirtung,16,PG2012062,Pangnirtung,16
PG2012063,Pangnirtung,16,PG2012063,Pangnirtung,16
PG2012064,Pangnirtung,16,PG2012064,Pangnirtung,16
PG2012064,Pangnirtung,16,PG2012065,Pangnirtung,16
PG2012066,Pangnirtung,16,PG2012066,Pangnirtung,16
PG2012067,Pangnirtung,16,PG2012067,Pangnirtung,16
PG2012068,Pangnirtung,16,PG2012068,Pangnirtung,16
PG2012068,Pangnirtung,16,PG2012091,Pangnirtung,16
PG2012069,Pangnirtung,16,PG2012069,Pangnirtung,16
PG2012069,Pangnirtung,16,PG2012070,Pangnirtung,16
PG2012071,Pangnirtung,16,PG2012071,Pangnirtung,16
PG2012072,Pangnirtung,16,PG2012072,Pangnirtung,16
PG2012073,Pangnirtung,16,PG2012073,Pangnirtung,16
PG2012073,Pangnirtung,16,PG2012074,Pangnirtung,16
PG2012075,Pangnirtung,16,PG2012076,Pangnirtung,16
PG2012075,Pangnirtung,16,PG2012075,Pangnirtung,16
PG2012077,Pangnirtung,16,PG2012077,Pangnirtung,16
PG2012078,Pangnirtung,16,PG2012078,Pangnirtung,16
PG2012079,Pangnirtung,16,PG2012079,Pangnirtung,16
PG2012079,Pangnirtung,16,PG2012080,Pangnirtung,16
PG2012081,Pangnirtung,16,PG2012083,Pangnirtung,16
PG2012081,Pangnirtung,16,PG2012081,Pangnirtung,16
PG2012082,Pangnirtung,16,PG2012084,Pangnirtung,16
PG2012082,Pangnirtung,16,PG2012082,Pangnirtung,16
PG2012085,Pangnirtung,16,PG2012085,Pangnirtung,16
PG2012086,Pangnirtung,16,PG2012086,Pangnirtung,16
PG2012087,Pangnirtung,16,PG2012087,Pangnirtung,16
PG2012088,Pangnirtung,16,PG2012088,Pangnirtung,16
PG2012089,Pangnirtung,16,PG2012089,Pangnirtung,16
PG2012090,Pangnirtung,16,PG2012090,Pangnirtung,16
PG2012093,Pangnirtung,16,PG2012093,Pangnirtung,16
PG2012095,Pangnirtung,16,PG2012095,Pangnirtung,16
PG2012096,Pangnirtung,16,PG2012096,Pangnirtung,16
PG2012097,Pangnirtung,16,PG2012097,Pangnirtung,16
PG2012098,Pangnirtung,16,PG2012098,Pangnirtung,16
PG2012099,Pangnirtung,16,PG2012099,Pangnirtung,16
PG2012099,Pangnirtung,16,PG2012103,Pangnirtung,16
PG2012100,Pangnirtung,16,PG2012100,Pangnirtung,16
PG2012101,Pangnirtung,16,PG2012102,Pangnirtung,16
PG2012101,Pangnirtung,16,PG2012101,Pangnirtung,16
PG2012104,Pangnirtung,16,PG2012104,Pangnirtung,16
PG2012105,Pangnirtung,16,PG2012105,Pangnirtung,16
PG2012105,Pangnirtung,16,PG2012106,Pangnirtung,16
PG2012107,Pangnirtung,16,PG2012107,Pangnirtung,16
PG2012108,Pangnirtung,16,PG2012108,Pangnirtung,16
PG2012110,Pangnirtung,16,PG2012110,Pangnirtung,16
PG2012111,Pangnirtung,16,PG2013008,Pangnirtung,17
PG2012111,Pangnirtung,16,PG2012111,Pangnirtung,16
PG2012113,Pangnirtung,16,PG2012113,Pangnirtung,16
PG2013003,Pangnirtung,17,PG2013003,Pangnirtung,17
PG2013004,Pangnirtung,17,PG2013023,Pangnirtung,17
PG2013004,Pangnirtung,17,PG2013024,Pangnirtung,17
PG2013004,Pangnirtung,17,PG2013004,Pangnirtung,17
PG2013005,Pangnirtung,17,PG2013005,Pangnirtung,17
PG2013006,Pangnirtung,17,PG2013006,Pangnirtung,17
PG2013007,Pangnirtung,17,PG2013007,Pangnirtung,17
PG2013011,Pangnirtung,17,PG2013011,Pangnirtung,17
PG2013012,Pangnirtung,17,PG2013012,Pangnirtung,17
PG2013013,Pangnirtung,17,PG2013013,Pangnirtung,17
PG2013014,Pangnirtung,17,PG2013041,Pangnirtung,17
PG2013014,Pangnirtung,17,PG2013014,Pangnirtung,17
