,omega,p,omega_nd,N,lp__
1,0.450690337598602,0.0058050966920612,0.439188057197429,4633,-1073.27320573041
2,0.436942063223963,0.00663845430540166,0.42387974578807,4484,-1073.58371389026
3,0.351798770904339,0.00839770645323179,0.336572237544958,3604,-1073.35428255108
4,0.301399633299549,0.00915708577703411,0.286133814634547,3032,-1072.35325260744
5,0.420338769766495,0.00631009122028525,0.408052154037184,4241,-1072.97327284849
6,0.194055670792718,0.0147253067401472,0.176165177074964,2034,-1073.20492347504
7,0.211719101226763,0.0121843893616546,0.19581359705893,2131,-1072.83180251551
8,0.265195575513669,0.0101370290403325,0.249618710274341,2745,-1072.29335701112
9,0.487391768836771,0.00511873037676169,0.477141289040522,4947,-1074.1333577327
10,0.245872362841449,0.0114863264724541,0.229140369280834,2541,-1072.5422290264
11,0.224299321749975,0.0120584605964771,0.207865603976129,2287,-1072.47984666886
12,0.330684985967488,0.0095288713843843,0.313956822849284,3277,-1075.00464136644
13,0.519650127050966,0.00483227184392232,0.509970960937479,5281,-1074.28851356663
14,0.268268737637919,0.00970306480290217,0.253235940648458,2655,-1072.43923668413
15,0.385430061235364,0.00666267288206945,0.372842243402893,3932,-1072.98687414353
16,0.256718389164726,0.00948426223581988,0.242443126241233,2620,-1073.4306857301
17,0.255034695664718,0.0101073064087768,0.239903633996566,2640,-1072.54940112895
18,0.257421231996115,0.00957324301592288,0.242987445515573,2620,-1073.18884871471
19,0.357043288015606,0.00761393810683297,0.343132659215016,3687,-1072.53451060096
20,0.195890931949098,0.0127025455756276,0.180280507938192,2037,-1073.52235658813
21,0.374616220662381,0.00732885464882183,0.360934567486178,3830,-1072.65426414782
22,0.229018388634964,0.0115887950631796,0.21297018196327,2349,-1072.47699150751
23,0.312602956038647,0.00899533595171031,0.297283670030153,3100,-1072.50092185482
24,0.327769092301888,0.00864873036405212,0.312644835518352,3324,-1072.62959503926
25,0.21844217462647,0.0117400999913329,0.202741971718937,2244,-1072.81832905922
26,0.274807624873081,0.00918541355438385,0.260342622275748,2824,-1072.77639963735
27,0.187075588323233,0.0145135071310299,0.169935529436515,1931,-1073.01683725484
28,0.401579043795646,0.00748888884586918,0.387216759159069,4118,-1074.04524560396
29,0.343748912448544,0.00834386978816437,0.328789960477862,3486,-1072.83486323156
30,0.246686635656175,0.0104965240747003,0.231336762595557,2500,-1072.53451028005
