omega,p,omega_nd,N,lp__
0.468206714373329,0.00810200682402584,0.443994741132541,2447,-1102.08013913719
0.533216251135576,0.00735430726167807,0.511118961190297,2856,-1101.2282730286
0.828598685463608,0.0057879838392294,0.818478151321832,4348,-1103.45115394452
0.766323030497935,0.00552999122698561,0.754196413902502,4059,-1101.65405332879
0.707692301607057,0.00652756154543233,0.691174274809357,3721,-1101.35514844052
0.463023073491487,0.0094617629519208,0.434808242270368,2400,-1099.55015082157
0.639439873693468,0.00745189606475893,0.618497622520618,3350,-1101.37856045779
0.828613748105633,0.00530165424248286,0.819364112736994,4362,-1102.24204139384
0.482017316386803,0.0104161386886068,0.450757397618545,2463,-1102.19877492878
0.609271753961687,0.00718729209089874,0.588481898989845,3252,-1100.1338094139
0.453746169175495,0.00950251346636544,0.42552784987162,2416,-1099.57738890922
0.890596072872077,0.00485448711527503,0.884775189554055,4675,-1103.12269527999
0.544256493237474,0.00791866531262664,0.520510546603306,2914,-1099.7812644295
0.583542120442874,0.00782810965868164,0.560458826543948,3053,-1100.22552429418
0.514527040916856,0.00816567429937143,0.489934902396051,2726,-1099.84350411494
0.489011672566924,0.00898449177290384,0.462007986793431,2611,-1099.57549792427
0.344964753740907,0.0132544476902184,0.309733894608487,1864,-1100.62993364289
0.696075294791877,0.00642730100105982,0.67946218104817,3670,-1100.90257824752
0.45705043921941,0.00930500867122896,0.429374036927795,2383,-1099.64819517442
0.611655214110704,0.00684264728356199,0.591913462696999,3186,-1100.40441395275
0.513889070526131,0.00866724818877118,0.487779996788849,2743,-1099.68034361751
0.502823268139724,0.00895677301867781,0.475850724408244,2637,-1099.72023844285
0.290392747421782,0.0149209182530198,0.254666370895033,1544,-1101.66552944058
0.348020672656319,0.012195904758748,0.315398155611348,1822,-1100.39230132261
0.441828742535798,0.0103059733516713,0.411430028280202,2330,-1099.79317224494
0.472598018142206,0.00917796842693974,0.445131351436954,2466,-1099.5600337893
0.378888548347748,0.0112063995363135,0.347622918735039,2070,-1100.00949366906
0.516082565885861,0.0079817375612955,0.492047499878872,2734,-1100.10310628003
0.543738549644178,0.00809834161602352,0.519446881948692,2962,-1099.75803399312
0.390617491033797,0.00946930756122832,0.363804218960963,2054,-1103.19938922049
0.488533035776181,0.00865055454340169,0.462536804167817,2500,-1099.72070449958
0.596568752235366,0.00725319586055651,0.575379225979114,3174,-1100.06286956203
