"","x"
"533",16832
"534",18488
"535",20298
"536",19877
"537",15896
"538",23126
"539",14354
"540",17261
"541",13431
"542",7995
"543",23080
"544",14117
"545",18688
"546",11155
"547",13313
"548",22546
"549",19347
"550",16977
"551",9290
"552",34179
"553",14746
"554",16566
"555",23665
"556",13728
"557",20336
"558",40581
"559",16497
"560",15286
"561",15015
"562",12313
"563",17987
"564",14996
"565",15808
"566",14168
"567",17371
"568",11372
"569",33029
"570",16977
"571",9668
"572",9940
"573",16451
"574",16848
"575",21457
"576",11282
"577",21397
"578",18324
"579",17154
"580",15275
"581",9102
"582",11806
"583",14922
"584",12635
"585",22208
"586",16191
"587",12353
"588",12776
"589",16241
"590",12556
"591",9904
"592",13074
"593",16598
"594",22237
"595",27765
"596",11740
"597",25247
"598",17270
"599",24292
"600",24907
"601",23116
"602",15299
"603",12077
"604",26481
"605",9716
"606",17648
"607",16846
"608",23765
"609",12016
"610",20634
"611",18539
"612",21829
"613",19826
"614",16384
"615",20089
"616",15332
"617",9758
"618",22785
"619",22031
"620",25190
"621",19701
"622",15811
"623",20985
"624",13428
"625",17128
"626",12963
"627",25649
"628",19901
"629",36334
"630",22079
"631",18071
"632",21078
"633",18522
"634",25882
"635",17001
"636",19571
"637",14332
"638",10321
"639",9771
"640",15311
"641",9534
"642",16708
"643",14907
"644",14092
"645",17569
"646",10750
"647",13081
"648",13108
"649",21522
"650",29329
"651",7069
"652",26068
"653",19303
"654",20501
"655",17448
"656",21819
"657",16934
"658",19220
"659",9453
"660",24321
"661",17042
"662",10114
"663",36490
"664",20376
"665",9690
"666",10193
"667",21611
"668",28333
"669",22952
"670",10725
"671",19982
"672",9660
"673",17749
"674",16604
"675",11193
"676",24979
"677",16696
"678",15910
"679",16931
"680",18180
"681",19506
"682",14957
"683",21554
"684",13552
"685",17751
"686",12417
"687",13798
"688",20929
"689",16673
"690",10621
"691",11033
"692",18073
"693",16129
"694",18749
"695",16197
"696",16645
"697",14346
"698",23005
"699",15859
"700",15689
"701",22697
"702",17355
"703",18668
"704",28985
"705",13947
"706",32084
"707",16061
"708",36087
"709",23901
"710",16821
"711",10892
"712",30595
"713",16639
"714",9866
"715",34960
"716",19560
"717",34064
"718",11733
"719",21088
"720",11666
"721",19764
"722",17565
"723",18293
"724",23105
"725",11767
"726",8788
"727",11854
"728",9918
"729",13472
"730",14826
"731",13862
"732",28285
"733",16210
"734",16265
"735",14477
"736",22576
"737",14527
"738",15973
"739",25306
"740",12709
"741",15125
"742",25508
"743",26209
"744",14932
"745",16337
"746",11547
"747",14000
"748",12685
"749",15731
"750",7598
"751",35446
"752",22702
"753",13933
"754",11591
"755",11888
"756",14386
"757",24743
"758",13839
"759",6713
"760",30236
"761",20335
"762",25529
"763",12482
"764",23560
"765",20445
"766",10906
"767",18095
"768",30772
"769",15724
"770",16451
"771",17117
"772",15481
"773",16381
"774",33487
"775",16437
"776",10657
"777",11428
"778",29451
"779",31165
"780",20087
"781",9943
"782",18893
"783",17551
"784",26368
"785",18353
"786",15394
"787",20640
"788",20397
"789",22341
"790",12201
"791",20578
"792",12957
"793",21879
"794",10395
"795",12389
"796",11757
"797",14664
"798",9283
"799",30566
"800",12406
"801",16482
"802",28235
"803",15655
"804",24397
"805",9488
"806",35916
"807",13692
"808",16034
"809",40875
"810",22951
"811",9729
"812",11187
"813",15168
"814",10680
"815",21554
"816",8281
"817",14222
"818",19199
"819",18081
"820",23539
"821",18159
"822",15512
"823",15406
"824",13575
"825",35504
"826",16189
"827",23337
"828",18097
"829",11515
"830",39584
"831",11499
"832",13718
"833",17496
"834",17999
"835",19370
"836",11877
"837",12745
"838",17968
"839",32350
"840",14195
"841",28304
"842",18253
"843",25363
"844",28126
"845",12768
"846",13137
"847",20096
"848",15013
"849",11294
"850",14318
"851",11930
"852",9009
"853",13826
"854",21117
"855",23693
"856",16634
"857",19567
"858",21953
"859",15095
"860",14804
"861",13198
"862",15765
"863",20896
"864",21612
"865",12544
"866",21148
"867",19138
"868",15894
"869",12980
"870",15191
"871",22796
"872",21127
"873",21016
"874",17332
"875",15938
"876",11506
"877",8474
"878",22016
"879",10728
"880",15058
"881",15996
"882",11870
"883",19023
"884",14008
"885",15230
"886",24700
"887",13964
"888",14954
"889",27698
"890",10105
"891",14985
"892",15797
"893",19557
"894",12836
"895",19581
"896",16359
"897",20385
"898",11228
"899",18718
"900",13628
"901",13529
"902",8780
"903",19367
"904",16358
"905",30099
"906",19493
"907",11056
"908",13430
"909",18289
"910",13242
"911",12272
"912",9272
"913",12705
"914",20694
"915",12388
"916",11292
"917",12386
"918",37075
"919",10918
"920",15619
"921",18346
"922",18291
"923",20601
"924",27046
"925",13250
"926",15301
"927",15000
"928",29090
"929",8298
"930",12016
"931",28900
"932",11061
"933",20927
"934",11164
"935",11926
"936",8867
"937",16028
"938",25067
"939",17851
"940",20792
"941",17522
"942",19870
"943",27050
"944",12586
"945",18744
"946",15404
"947",30093
"948",12959
"949",11563
"950",17429
"951",13659
"952",24930
"953",12353
"954",12500
"955",13113
"956",9394
"957",11955
"958",21892
"959",10648
"960",19317
"961",19946
"962",7654
"963",18405
"964",18799
"965",17299
"966",14881
"967",14120
"968",15948
"969",15748
"970",8690
"971",9870
"972",25449
"973",11043
"974",28115
"975",19236
"976",12196
"977",17471
"978",16610
"979",12322
"980",7893
"981",21247
"982",20063
"983",15574
"984",27097
"985",18645
"986",16353
"987",16656
"988",15184
"989",14993
"990",15342
"991",9909
"992",11572
"993",24708
"994",12627
"995",40189
"996",14711
"997",11549
"998",14152
"999",18279
"1000",19997
"1001",14885
"1002",10913
"1003",24052
"1004",16942
"1005",13452
"1006",13346
"1007",20851
"1008",13006
"1009",22517
"1010",14364
"1011",15742
"1012",13683
"1013",27265
"1014",11611
"1015",16171
"1016",22259
"1017",21666
"1018",27083
"1019",47274
"1020",17648
"1021",16713
"1022",14449
"1023",20177
"1024",15173
"1025",14942
"1026",15140
"1027",18586
"1028",14981
"1029",11891
"1030",26486
"1031",19903
"1032",19084
"1033",12755
"1034",15685
"1035",17496
"1036",12532
"1037",15064
"1038",13214
"1039",14329
"1040",9743
"1041",18533
"1042",22396
"1043",20305
"1044",18117
"1045",12077
"1046",22828
"1047",36987
"1048",17067
"1049",26941
"1050",16315
"1051",18993
"1052",21231
"1053",24557
"1054",17668
"1055",10880
"1056",19523
"1057",19848
"1058",26321
"1059",13915
"1060",15456
"1061",15348
"1062",26580
"1063",12882
"1064",16976
"1065",23220
"1066",23383
"1067",24807
"1068",18938
"1069",16419
"1070",14377
"1071",14313
"1072",20498
"1073",26926
"1074",13134
"1075",12221
"1076",14416
"1077",9189
"1078",12286
"1079",14167
"1080",18269
"1081",12450
"1082",20104
"1083",7929
"1084",8953
"1085",23418
"1086",15963
"1087",8748
"1088",18418
"1089",19576
"1090",18902
"1091",13982
"1092",25844
"1093",13374
"1094",17942
"1095",9440
"1096",9454
"1097",17093
"1098",10250
"1099",16361
"1100",11524
"1101",16536
"1102",19969
"1103",7423
"1104",16701
"1105",10173
"1106",15917
"1107",21831
"1108",10029
"1109",15729
"1110",25752
"1111",10584
"1112",19802
"1113",20357
"1114",12574
"1115",14693
"1116",17241
"1117",22205
"1118",23210
"1119",9358
"1120",21785
"1121",16708
"1122",12353
"1123",15006
"1124",12986
"1125",20397
"1126",14873
"1127",15886
"1128",30327
"1129",20670
"1130",16228
