"","x"
"304",15632.04940183
"305",9216.2810501825
"306",10204.8090102933
"307",18580.9064834178
"308",10762.4744304309
"309",14902.8648554114
"310",13784.4300574466
"311",11084.058841459
"312",11550.3908879689
"313",9957.51435426934
"314",10584.638092789
"315",11631.4959654589
"316",23982.0574527943
"317",20931.592208274
"318",10524.2311872796
"319",13070.265285502
"320",14544.1293042492
"321",15214.0651720435
"322",10954.7356935474
"323",19642.049732354
"324",11365.2063829469
"325",16020.6970818632
"326",11132.6300163863
"327",18490.0256068651
"328",10856.0002163444
"329",13872.175685927
"330",17656.1384098012
"331",13981.6240385122
"332",15301.6385372015
"333",9760.68495593688
"334",10064.3481378747
"335",14350.766376953
"336",12370.6516145779
"337",29592.3219306116
"338",23760.8566858887
"339",9555.78927117689
"340",11174.2098958024
"341",7999.0112545569
"342",11593.3949396633
"343",12255.7570975167
"344",11227.6845680249
"345",16090.0865474874
"346",11297.565355788
"347",14286.7644834591
"348",13677.3978160706
"349",10590.7923294765
"350",18159.5684150525
"351",11508.6345000737
"352",8932.93794874664
"353",10408.2555219504
"354",13199.160368479
"355",10518.3979258196
"356",10264.2203069874
"357",9813.20270555612
"358",17028.9230311455
"359",19058.9247617557
"360",11537.2956566106
"361",10273.892961189
"362",18676.0756468823
"363",11420.3117848515
"364",13004.8033326214
"365",13407.8950743006
"366",13107.5454936726
"367",13298.5513475612
"368",13016.295018162
"369",13039.316532698
"370",11461.2444372787
"371",13251.5707316631
"372",11911.2880568526
"373",16958.6849404419
"374",11020.9701252411
"375",14416.5434855561
"376",10203.4570873565
"377",17251.9665194254
"378",12300.7864809344
"379",12003.1807823863
"380",13834.7313510631
"381",16047.7152871439
"382",10910.5853578697
"383",16737.7764183255
"384",16369.6395882257
"385",10956.5119341067
"386",11349.5857521939
"387",10746.4546144361
"388",11918.4704198115
"389",18387.835924882
"390",12064.2909866078
"391",14872.3257974247
"392",11317.7528131731
"393",11880.4074101432
"394",14267.7335128097
"395",12571.307800164
"396",12226.46902544
"397",13171.6506607677
"398",13013.0572615062
"399",14502.6504799937
"400",12291.8550533776
"401",11468.7567059006
"402",12462.6633783692
"403",16629.6244959344
"404",15094.303046386
"405",14176.8066557993
"406",11583.8388689944
"407",10071.099371118
"408",24971.1492514595
"409",14299.6634378948
"410",10245.1983614852
"411",12204.411399393
"412",12602.9764196604
"413",10619.2285965517
"414",14833.3104801873
"415",11726.756144964
"416",11249.0147622396
"417",12762.014841054
"418",14372.6868490298
"419",15851.3279332589
"420",11402.238843119
"421",12934.052450515
"422",13844.4075624908
"423",20621.6942193505
"424",9957.6028375505
"425",9379.40127219124
"426",8009.3196200252
"427",10641.0604427407
"428",18129.2469841363
"429",10480.7421259295
"430",11188.0134390096
"431",13772.7373498629
"432",22914.8637039702
"433",12445.3662077292
"434",12101.0310117511
"435",14374.5559871852
"436",12028.5118854816
"437",9037.74257756232
"438",14413.198292244
"439",19625.5057476867
"440",11409.6413968923
"441",9451.48688786213
"442",12385.2266802778
"443",11651.0977948054
"444",9452.86643814811
"445",15594.4353294716
"446",9440.41331302963
"447",15551.5833465389
"448",14557.3859211874
"449",16704.1051936917
"450",15820.9644570411
"451",14710.616436495
"452",12948.4595945081
"453",18649.8402216454
"454",12276.9585795477
"455",12665.6793730809
"456",9144.01111179677
"457",11964.4818274917
"458",12748.2992130909
"459",10490.619740279
"460",14284.0381068918
"461",14915.4603000058
"462",8951.47293811697
"463",11821.3317550384
"464",17522.9356867156
"465",11392.30179581
"466",17401.4197958377
"467",17274.4594767715
"468",10843.9240924299
"469",13467.9880389442
"470",12244.9299768518
"471",18218.1219164843
"472",11979.4434193279
"473",27374.3147524718
"474",15629.0728574102
"475",13633.5397789765
"476",8149.32228244707
"477",9005.76768310587
"478",9671.27651760634
"479",14155.2128020048
"480",13356.119010902
"481",18058.2223536286
"482",13988.4895702719
"483",11484.8458162846
"484",13500.1887788947
"485",12102.3991991207
"486",12525.2491887324
"487",10341.5106798585
"488",14093.3519794461
"489",11123.0130999537
"490",11520.7631711394
"491",10095.4617713319
"492",10296.4311198171
"493",13923.176313152
"494",14758.2405071386
"495",17070.2913872576
"496",10428.1216265606
"497",14796.3969000416
"498",12405.0015598357
"499",17416.3644519007
"500",11264.028638465
"501",16720.6462433192
"502",13736.6778285555
"503",17806.1491405304
"504",12168.4738161504
"505",10038.3380465318
"506",12111.0109095553
"507",14550.1025342112
"508",11568.932586647
"509",16539.3368723525
"510",19326.4476619235
"511",11078.2204784195
"512",11803.3078738986
"513",12581.2807216942
"514",12173.4815754488
"515",15935.6981578749
"516",17138.3533153972
"517",14987.4312082808
"518",9594.75929673035
"519",11794.6611548168
"520",9577.70160711602
"521",14036.4524656131
"522",10185.2681979269
"523",11024.4043672299
"524",11750.0512810433
"525",11415.5093894085
"526",13041.6487179569
"527",12683.345862311
"528",14591.6004874672
"529",12411.2922481978
"530",11857.8204192409
"531",15220.6104121125
"532",8767.38121434004
"533",13785.0258887588
"534",8825.48917290499
"535",16299.2930018971
"536",14537.3722647867
"537",15420.1240194678
"538",13088.1138157631
"539",13089.8191194007
"540",11319.527392335
"541",12862.4659632207
"542",9983.15146482381
"543",18530.7246095169
"544",9920.11203619247
"545",14018.8924758507
"546",20447.799178728
"547",12592.2629148426
"548",13731.78899569
"549",12248.5954083093
"550",13961.3492347235
"551",11072.8156449062
"552",13576.1433606423
"553",10695.6192467776
"554",10457.2329286089
"555",9749.95460714663
"556",12383.3924219976
"557",10227.3468329762
"558",8705.72151561006
"559",15924.3218778416
"560",12642.2869758951
"561",9608.61120459628
"562",9842.94302785719
"563",10712.691662769
"564",11918.1145021596
"565",10259.9334811521
"566",16166.4683966108
"567",13176.0824177007
"568",9650.69378805979
"569",10280.0259396083
"570",16487.8543616913
"571",12661.1054862046
"572",12603.4687872847
"573",9643.74706915703
"574",11031.1512762565
"575",17773.2624720713
"576",12326.8461947806
"577",19526.40391765
"578",11433.7580668798
"579",13355.8379686879
"580",14285.822880381
"581",17932.5360785371
"582",15486.9939491303
"583",11788.1979680417
"584",11047.4116078278
"585",11993.4358341942
"586",14607.0685337951
"587",10448.0773963275
"588",15505.9428016679
"589",11562.2795083242
"590",9174.39528067787
"591",16405.2714616849
"592",8738.87176494993
"593",8792.03097080912
"594",9873.92014087886
"595",14903.3239771254
"596",16337.5434973421
"597",9649.14059977404
"598",11877.7683776264
"599",11071.1035426378
"600",13222.0093019994
"601",19579.0911816816
"602",15034.4551778208
"603",12218.5138725718
"604",12045.9478378865
"605",14114.5507495915
"606",10352.4297970773
"607",12446.0691384987
"608",20557.1523086936
"609",17454.2806747287
"610",10075.9335299008
"611",16176.5185163263
"612",13655.6284773166
"613",10302.0260978349
"614",12530.7998541933
"615",13717.1662593478
"616",12786.5039860956
"617",10561.6940127695
"618",14513.9452448587
"619",16809.4465949618
"620",11312.5370218027
"621",14260.3916059243
"622",24291.7097274934
"623",9594.8779899143
"624",15611.7863714927
"625",18082.8351266069
"626",13291.6579165176
"627",14039.4494273569
"628",9987.1006166597
"629",11834.853940028
"630",11717.1449111197
"631",9700.42152723465
"632",9841.66017255649
"633",19205.4760455006
"634",16454.9339700102
"635",9631.17441079086
"636",9271.15990724635
"637",10402.2526454666
"638",12140.291303538
"639",11125.1428965494
"640",11788.3962655659
"641",12480.0074899458
"642",9379.46783286046
"643",15213.4244425603
"644",12943.4140639025
"645",13393.3438634378
"646",9959.89235578528
"647",10073.2013891378
"648",13725.8938969543
"649",13719.4644251495
"650",9937.6001535962
"651",11699.93229548
"652",13004.0249186675
"653",12490.8239484962
"654",13407.1675199059
"655",19647.7577690179
"656",12818.188715121
"657",10747.4442675005
"658",14659.1660821001
"659",15427.0454030746
"660",13487.2868926913
"661",13266.4452428456
"662",10593.9451361654
"663",16940.9355784263
"664",13597.9483141939
"665",12496.9210725601
"666",12191.1692212078
"667",11666.1508780233
"668",11932.5438626559
"669",13374.4092725586
"670",16872.4232465671
"671",19869.2687702988
"672",12249.1022889584
"673",19128.1563084733
"674",13510.5331151372
"675",19121.6507491046
"676",16639.9345645076
"677",12060.608893854
"678",12890.8466704272
"679",16698.3286589426
"680",10710.4778424967
"681",11348.867421955
"682",16263.818639125
"683",11685.6040086943
"684",14319.8355326017
"685",16622.9572046446
"686",17534.7269280626
"687",15298.1268928884
"688",13320.2955934003
"689",9691.40460943463
"690",13858.0916286471
"691",14390.0530549667
"692",11218.6251818127
"693",11448.8102574365
"694",12672.4706969784
"695",14936.9603688114
"696",11008.2154631667
"697",12058.6145259833
"698",9815.06493857412
"699",10447.2772945813
"700",19999.0835154769
"701",14129.2293324874
"702",12921.1905295045
"703",10621.8907964829
"704",12581.0144007981
"705",13437.5509394846
"706",16626.9000263591
"707",13218.3764267188
"708",12791.9766516084
"709",13088.7919034346
"710",12777.1872092748
"711",12860.0834793177
"712",12289.9581796483
"713",8539.4585065745
"714",11261.7307374559
"715",18059.6208055546
"716",9561.45015078144
"717",8758.73520993216
"718",8775.11636773031
"719",8490.72193096466
"720",10171.5226851819
"721",10369.6964602371
"722",13082.5295651601
"723",10250.0770896832
"724",12809.472095032
"725",15461.0020081717
"726",12243.9229116684
