"","x"
"535",5456
"536",7185
"537",5889
"538",10877
"539",6013
"540",8103
"541",3006
"542",751
"543",14645
"544",3711
"545",8779
"546",2392
"547",2283
"548",14114
"549",6525
"550",9319
"551",2513
"552",26380
"553",6529
"554",7175
"555",16126
"556",5730
"557",10800
"558",30961
"559",7652
"560",7427
"561",3828
"562",2466
"563",11995
"564",4709
"565",8767
"566",4448
"567",7841
"568",3627
"569",16862
"570",6852
"571",1488
"572",3659
"573",6570
"574",4848
"575",11096
"576",3171
"577",8184
"578",9845
"579",10132
"580",7009
"581",3020
"582",2775
"583",8579
"584",2516
"585",8806
"586",4666
"587",4383
"588",3041
"589",4187
"590",3362
"591",1416
"592",3838
"593",9037
"594",12273
"595",13691
"596",2760
"597",14327
"598",7956
"599",10950
"600",15231
"601",15706
"602",2543
"603",3119
"604",14063
"605",3389
"606",5783
"607",6894
"608",15295
"609",3726
"610",9950
"611",10360
"612",7942
"613",7023
"614",8157
"615",10178
"616",7692
"617",895
"618",8928
"619",11053
"620",16595
"621",10335
"622",4120
"623",6705
"624",4234
"625",6843
"626",5593
"627",16236
"628",11647
"629",22138
"630",10423
"631",6272
"632",6169
"633",9026
"634",15559
"635",6242
"636",10799
"637",2318
"638",2165
"639",2377
"640",5984
"641",1545
"642",8217
"643",4953
"644",6457
"645",8939
"646",2476
"647",4476
"648",5765
"649",10099
"650",16292
"651",1646
"652",12655
"653",8356
"654",6814
"655",8788
"656",13575
"657",8734
"658",7557
"659",1542
"660",16090
"661",7167
"662",987
"663",23276
"664",7888
"665",464
"666",3133
"667",12369
"668",17370
"669",6056
"670",2498
"671",5932
"672",1945
"673",11424
"674",8862
"675",3472
"676",16538
"677",7461
"678",9585
"679",5077
"680",9259
"681",6366
"682",4592
"683",15447
"684",3522
"685",9200
"686",7025
"687",4760
"688",7727
"689",5288
"690",948
"691",3726
"692",10066
"693",6319
"694",9187
"695",4734
"696",6913
"697",5433
"698",16135
"699",8686
"700",2462
"701",11301
"702",9695
"703",4992
"704",20950
"705",6261
"706",23417
"707",6172
"708",29038
"709",16059
"710",4087
"711",2125
"712",21853
"713",5320
"714",570
"715",25226
"716",6731
"717",25715
"718",1146
"719",12806
"720",3376
"721",8075
"722",11347
"723",11579
"724",12204
"725",3472
"726",2592
"727",5408
"728",4043
"729",6762
"730",7701
"731",6781
"732",15853
"733",8167
"734",6062
"735",4097
"736",14529
"737",5597
"738",5112
"739",18975
"740",4341
"741",7569
"742",15635
"743",16951
"744",6333
"745",8567
"746",2919
"747",7644
"748",4460
"749",2972
"750",2228
"751",27547
"752",15619
"753",2648
"754",6063
"755",4309
"756",5110
"757",15548
"758",6324
"759",1241
"760",19020
"761",8513
"762",18337
"763",3768
"764",11586
"765",13991
"766",3070
"767",2204
"768",22485
"769",8999
"770",7900
"771",7099
"772",3676
"773",5228
"774",20020
"775",4891
"776",1996
"777",3663
"778",15782
"779",22163
"780",9814
"781",2109
"782",11592
"783",6047
"784",17478
"785",9213
"786",7364
"787",6824
"788",6573
"789",10056
"790",2490
"791",12300
"792",3084
"793",9632
"794",2330
"795",5742
"796",2953
"797",7217
"798",2708
"799",22459
"800",4749
"801",2466
"802",17510
"803",6309
"804",10817
"805",81
"806",22781
"807",5058
"808",7437
"809",27734
"810",14290
"811",1403
"812",1502
"813",3205
"814",4785
"815",14163
"816",454
"817",1429
"818",8935
"819",7210
"820",14713
"821",6282
"822",2806
"823",6695
"824",4482
"825",25193
"826",7666
"827",12906
"828",8770
"829",1710
"830",29262
"831",2442
"832",5717
"833",2385
"834",3435
"835",8621
"836",2546
"837",2479
"838",4992
"839",22733
"840",4419
"841",20789
"842",9484
"843",10216
"844",17372
"845",639
"846",5530
"847",7589
"848",8701
"849",3187
"850",5882
"851",4387
"852",402
"853",5522
"854",10868
"855",14119
"856",7811
"857",11894
"858",11444
"859",7027
"860",4301
"861",4615
"862",3349
"863",6423
"864",13023
"865",5218
"866",13783
"867",9036
"868",4038
"869",6006
"870",6745
"871",12552
"872",12164
"873",12655
"874",6569
"875",8575
"876",3876
"877",790
"878",13313
"879",4517
"880",7232
"881",7739
"882",4206
"883",12763
"884",3818
"885",3602
"886",14269
"887",4516
"888",4366
"889",19995
"890",2895
"891",2640
"892",6268
"893",13001
"894",5741
"895",8620
"896",5486
"897",11140
"898",3189
"899",11165
"900",4000
"901",5280
"902",1728
"903",12591
"904",6259
"905",17840
"906",10052
"907",3304
"908",1592
"909",8051
"910",4199
"911",4117
"912",830
"913",4206
"914",11540
"915",2226
"916",5662
"917",6520
"918",25989
"919",4195
"920",6609
"921",7466
"922",9943
"923",8364
"924",17813
"925",6097
"926",6373
"927",6780
"928",16683
"929",399
"930",6092
"931",18513
"932",3920
"933",6884
"934",4669
"935",3296
"936",1935
"937",2666
"938",17588
"939",7543
"940",9151
"941",9769
"942",2604
"943",19916
"944",5027
"945",5811
"946",2026
"947",18290
"948",4523
"949",3472
"950",7992
"951",4775
"952",14486
"953",474
"954",4393
"955",3288
"956",528
"957",4742
"958",13340
"959",555
"960",6028
"961",10327
"962",2815
"963",8426
"964",5224
"965",9180
"966",569
"967",7384
"968",2183
"969",7562
"970",1127
"971",2896
"972",18184
"973",2843
"974",14864
"975",13541
"976",4676
"977",6900
"978",6776
"979",3839
"980",786
"981",11000
"982",9808
"983",2961
"984",18412
"985",9124
"986",7998
"987",6280
"988",7411
"989",6089
"990",7034
"991",2181
"992",3017
"993",14801
"994",4659
"995",24426
"996",8223
"997",2427
"998",4038
"999",6672
"1000",13031
"1001",6364
"1002",2233
"1003",15058
"1004",3856
"1005",3708
"1006",7581
"1007",4891
"1008",4625
"1009",10510
"1010",4463
"1011",7098
"1012",1605
"1013",18958
"1014",5919
"1015",6178
"1016",11660
"1017",6633
"1018",18106
"1019",31266
"1020",3080
"1021",4543
"1022",4527
"1023",4283
"1024",6184
"1025",2134
"1026",7395
"1027",8073
"1028",6499
"1029",2079
"1030",18200
"1031",11622
"1032",11999
"1033",2471
"1034",6391
"1035",5369
"1036",3317
"1037",8177
"1038",4324
"1039",5787
"1040",875
"1041",7155
"1042",12157
"1043",10491
"1044",10989
"1045",3606
"1046",10678
"1047",26318
"1048",9369
"1049",18449
"1050",7763
"1051",11038
"1052",13230
"1053",6346
"1054",4100
"1055",2490
"1056",11498
"1057",9248
