"","x"
"564",1779
"565",1792
"566",5791
"567",2251
"568",426
"569",1252
"570",1241
"571",2297
"572",1256
"573",246
"574",1442
"575",2301
"576",744
"577",6594
"578",2965
"579",3378
"580",2161
"581",5397
"582",3796
"583",506
"584",896
"585",768
"586",3439
"587",188
"588",4131
"589",1809
"590",854
"591",3423
"592",254
"593",19
"594",437
"595",2034
"596",2543
"597",705
"598",1663
"599",1220
"600",4189
"601",7034
"602",2270
"603",401
"604",4150
"605",820
"606",72
"607",1295
"608",9970
"609",7404
"610",777
"611",4040
"612",1806
"613",1254
"614",548
"615",4524
"616",3029
"617",3048
"618",3101
"619",5470
"620",926
"621",3963
"622",12610
"623",268
"624",6369
"625",2994
"626",2710
"627",470
"628",513
"629",1349
"630",1485
"631",963
"632",1329
"633",6107
"634",4509
"635",253
"636",611
"637",396
"638",378
"639",2689
"640",212
"641",3030
"642",142
"643",4055
"644",3658
"645",913
"646",977
"647",721
"648",3099
"649",1585
"650",838
"651",1629
"652",2752
"653",2471
"654",262
"655",5243
"656",2749
"657",755
"658",4659
"659",5386
"660",1946
"661",565
"662",42
"663",412
"664",1937
"665",936
"666",1459
"667",2206
"668",3092
"669",4039
"670",1875
"671",3119
"672",158
"673",4326
"674",2628
"675",6305
"676",4486
"677",2419
"678",3489
"679",3584
"680",319
"681",143
"682",4003
"683",521
"684",385
"685",4082
"686",8784
"687",4669
"688",1582
"689",314
"690",6095
"691",4331
"692",853
"693",344
"694",3135
"695",3793
"696",2605
"697",1060
"698",1676
"699",630
"700",9952
"701",4365
"702",4830
"703",351
"704",3620
"705",2424
"706",5577
"707",1703
"708",3004
"709",1072
"710",645
"711",2528
"712",1672
"713",431
"714",2345
"715",5894
"716",140
"717",68
"718",667
"719",1445
"720",186
"721",1158
"722",4154
"723",1836
"724",882
"725",866
"726",669
"727",5979
"728",6741
"729",6759
"730",514
"731",29
"732",2544
"733",3217
"734",2951
"735",9221
"736",2544
"737",70
"738",5497
"739",2533
"740",1145
"741",2408
"742",2036
"743",317
"744",1951
"745",2022
"746",1699
"747",1910
"748",492
"749",167
"750",5014
"751",551
"752",369
"753",1428
"754",10008
"755",5123
"756",3233
"757",353
"758",238
"759",7718
"760",6809
"761",1077
"762",4254
"763",2705
"764",1228
"765",926
"766",1802
"767",9251
"768",7937
"769",152
"770",2308
"771",2676
"772",2909
"773",4331
"774",3821
"775",7896
"776",228
"777",824
"778",1542
"779",5326
"780",316
"781",57
"782",1893
"783",442
"784",601
"785",5451
"786",3265
"787",1589
"788",888
"789",632
"790",442
"791",1000
"792",5508
"793",908
"794",3821
"795",1381
"796",6993
"797",1914
"798",862
"799",10033
"800",1002
"801",922
"802",1686
"803",1167
"804",325
"805",5517
"806",211
"807",2935
"808",3271
"809",3252
"810",2116
"811",1184
"812",235
"813",4882
"814",5364
"815",596
"816",5725
"817",1741
"818",181
"819",7172
"820",1523
"821",681
"822",2490
"823",1107
"824",101
"825",2438
"826",4845
"827",187
"828",3076
"829",338
"830",476
"831",2531
"832",229
"833",314
"834",5174
"835",6287
"836",3812
"837",2140
"838",990
"839",972
"840",1131
"841",3605
"842",717
"843",6183
"844",4895
"845",1200
"846",708
"847",227
"848",1308
"849",1438
"850",1524
"851",2358
"852",4109
"853",142
"854",586
"855",106
"856",3014
"857",10022
"858",1747
"859",547
"860",1883
"861",1064
"862",2821
"863",3973
"864",7344
"865",1299
"866",4533
"867",5131
"868",5466
"869",2763
"870",2782
"871",3636
"872",2826
"873",1972
"874",1260
"875",881
"876",6223
"877",2916
"878",1898
"879",2211
"880",301
"881",5835
"882",248
"883",2901
"884",1405
"885",4122
"886",293
"887",19
"888",2617
"889",6029
"890",5744
"891",1106
"892",1038
"893",3577
"894",2578
"895",3520
"896",27
"897",4307
"898",5173
"899",453
"900",3361
"901",4687
"902",10974
"903",3714
"904",206
"905",4041
"906",1203
"907",3079
"908",1653
"909",3296
"910",341
"911",44
"912",251
"913",7778
"914",1109
"915",881
"916",594
"917",659
"918",237
"919",249
"920",9448
"921",1913
"922",577
"923",5952
"924",2771
"925",377
"926",305
"927",2133
"928",1098
"929",841
"930",2417
"931",171
"932",2358
"933",287
"934",30
"935",1421
"936",3636
"937",681
"938",600
"939",5023
"940",4295
"941",2835
"942",1143
"943",5110
"944",768
"945",1503
"946",4238
"947",207
"948",2746
"949",1537
"950",114
"951",383
"952",3269
"953",479
"954",882
"955",1406
"956",121
"957",1314
"958",2754
"959",5673
"960",424
"961",518
"962",156
"963",1172
"964",11582
"965",899
"966",4021
"967",22
"968",33
"969",1322
"970",445
"971",1019
"972",704
"973",2078
"974",2964
"975",634
"976",5774
"977",2978
"978",1512
"979",195
"980",232
"981",1077
"982",8938
"983",1631
"984",545
"985",4526
"986",5267
"987",1901
"988",156
"989",2435
"990",6612
"991",1035
"992",782
"993",805
"994",3332
"995",441
"996",645
"997",68
"998",2769
"999",1517
"1000",590
"1001",3018
"1002",725
"1003",3135
"1004",3650
"1005",1302
"1006",12538
"1007",2810
"1008",2475
"1009",1355
"1010",715
"1011",2331
"1012",7821
"1013",1058
"1014",1561
"1015",4524
"1016",2390
"1017",2330
"1018",5143
"1019",3201
"1020",95
"1021",1437
"1022",14187
"1023",2288
"1024",478
"1025",1268
"1026",548
"1027",3858
"1028",2376
"1029",90
"1030",952
"1031",1469
"1032",6565
"1033",3165
"1034",1581
"1035",7238
"1036",1386
"1037",839
"1038",1613
"1039",2655
"1040",5639
"1041",3841
"1042",3306
"1043",88
"1044",1219
"1045",4414
"1046",2702
"1047",408
"1048",224
"1049",6277
"1050",2197
"1051",1417
"1052",630
"1053",2620
"1054",5738
